Planet,Longitude,Nakshatra,Padam,Nakshatra Lord,Full Degree,Latitude/Shara,Speed(deg/day),RightAscension,Declination/Kranti,DateTime
Yam ,26°Tula01′ 18″, Vishakha,2,Guru,206.02,14°N58′ 48″,0.03,-128.68,-3.22,1991-01-01 18:00:00
Rahu ,05°Maka21′ 31″, U Ashadha,3,Surya,275.36,00°N00′ 00″,-0.05,301.24,-20.34,1991-01-01 18:00:00
Ketu ,05°Kark21′ 31″, Pushya,1,Shani,95.36,00°N00′ 00″,-0.05,121.24,20.34,1991-01-01 18:00:00
Spashth Rahu ,04°Maka17′ 40″, U Ashadha,3,Surya,274.29,00°N00′ 00″,-0.01,300.13,-20.56,1991-01-01 18:00:00
Spashth Ketu ,04°Kark17′ 40″, Pushya,1,Shani,94.29,00°N00′ 00″,-0.01,120.13,20.56,1991-01-01 18:00:00
Lagna ,20°Mitu14′ 51″, Punarvasu,1,Guru,80.25,00°N00′ 00″,288.32,105.19,22.71,1991-01-01 17:30:00
Surya ,16°Dhan55′ 57″, P Ashadha,2,Shukra,256.93,00°S00′ 00″,1.02,281.61,-23.01,1991-01-01 17:30:00
Chandra ,28°Mitu34′ 24″, Punarvasu,3,Guru,88.57,00°N31′ 37″,14.95,114.19,22.11,1991-01-01 17:30:00
Mangal ,04°Vibh00′ 53″, Krittika,3,Surya,34.01,02°N20′ 36″,0.001,54.92,21.94,1991-01-01 17:30:00
Budha ,00°Dhan19′ 57″, Mula,1,Ketu,240.33,03°N07′ 41″,-0.35,263.69,-20.18,1991-01-01 17:30:00
Guru ,18°Kark11′ 07″, Ashlesha,1,Budha,108.19,00°N41′ 00″,-0.1,134.59,17.87,1991-01-01 17:30:00
Shukra ,01°Maka44′ 28″, U Ashadha,2,Surya,271.74,01°S17′ 54″,1.25,297.7,-22.32,1991-01-01 17:30:00
Shani ,01°Maka59′ 41″, U Ashadha,2,Surya,271.99,00°S08′ 37″,0.12,297.74,-21.14,1991-01-01 17:30:00
Arun ,16°Dhan01′ 41″, P Ashadha,1,Shukra,256.03,00°S19′ 09″,0.06,280.65,-23.4,1991-01-01 17:30:00
Varun ,20°Dhan24′ 06″, P Ashadha,3,Shukra,260.4,00°N47′ 25″,0.04,285.26,-21.9,1991-01-01 17:30:00
